"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 21 00:10:53 BRT 2024","Thu Mar 21 00:10:53 BRT 2024","34","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceTest","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceTest","deveBuscarReservaPeloIdComSucesso","deveBuscarReservaPeloIdComSucesso()",""
"passed","Thu Mar 21 00:02:02 BRT 2024","Thu Mar 21 00:02:04 BRT 2024","1296","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest.reservarMesa","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest$reservarMesa","deveReservarMesaComSucesso","deveReservarMesaComSucesso()",""
"broken","Thu Mar 21 00:11:12 BRT 2024","Thu Mar 21 00:11:12 BRT 2024","1","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest","","ReservaControllerIntegrationTest",""
"broken","Thu Mar 21 00:11:12 BRT 2024","Thu Mar 21 00:11:12 BRT 2024","0","","com.techchallenge.restaurant.api.findfood.controller.AvaliacaoControllerIntegrationTest","","com.techchallenge.restaurant.api.findfood.controller.AvaliacaoControllerIntegrationTest","","AvaliacaoControllerIntegrationTest",""
"passed","Thu Mar 21 00:10:49 BRT 2024","Thu Mar 21 00:10:50 BRT 2024","804","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceIntegrationTest.registrarAvaliacao","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceIntegrationTest$registrarAvaliacao","deveLancarExceptionAoTentarRegistrarAvaliacaoComRestauranteNaoEncontrado","deveLancarExceptionAoTentarRegistrarAvaliacaoComRestauranteNaoEncontrado()",""
"passed","Thu Mar 21 00:10:54 BRT 2024","Thu Mar 21 00:10:54 BRT 2024","22","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","devePermitirAtualizarRestaurantes","devePermitirAtualizarRestaurantes()",""
"passed","Thu Mar 21 00:10:32 BRT 2024","Thu Mar 21 00:10:36 BRT 2024","3883","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceIntegrationTest","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceIntegrationTest","deveBuscarReservaPeloIdComSucesso","deveBuscarReservaPeloIdComSucesso()",""
"passed","Thu Mar 21 00:10:58 BRT 2024","Thu Mar 21 00:10:58 BRT 2024","155","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceIntegrationTest","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceIntegrationTest","devePermitirRegistrarRestaurante","devePermitirRegistrarRestaurante()",""
"passed","Thu Mar 21 00:10:50 BRT 2024","Thu Mar 21 00:10:51 BRT 2024","798","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceIntegrationTest.registrarAvaliacao","","com.techchallenge.restaurant.api.findfood.service.AvaliacaoServiceIntegrationTest$registrarAvaliacao","deveLancarExceptionAoTentarRegistrarAvaliacaoComPontuacaoAcimaDe5","deveLancarExceptionAoTentarRegistrarAvaliacaoComPontuacaoAcimaDe5()",""
"passed","Thu Mar 21 00:10:36 BRT 2024","Thu Mar 21 00:10:37 BRT 2024","610","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceIntegrationTest","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceIntegrationTest","deveLancarExceptionAoBuscarReservaPeloIdNaoEncontrado","deveLancarExceptionAoBuscarReservaPeloIdNaoEncontrado()",""
"passed","Thu Mar 21 00:02:02 BRT 2024","Thu Mar 21 00:02:02 BRT 2024","647","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest.reservarMesa","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest$reservarMesa","deveLancarExceptionAoTentarReservarEmRestauranteQueNaoPossuiMesasDisponiveis","deveLancarExceptionAoTentarReservarEmRestauranteQueNaoPossuiMesasDisponiveis()",""
"passed","Thu Mar 21 00:10:54 BRT 2024","Thu Mar 21 00:10:54 BRT 2024","11","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","deveLancarExcecaoAoDeletarRestauranteInexistente","deveLancarExcecaoAoDeletarRestauranteInexistente()",""
"passed","Thu Mar 21 00:10:25 BRT 2024","Thu Mar 21 00:10:30 BRT 2024","4334","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceIntegrationTest","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceIntegrationTest","deveRetornarTodasAsReservasComSucesso","deveRetornarTodasAsReservasComSucesso()",""
"passed","Thu Mar 21 00:10:54 BRT 2024","Thu Mar 21 00:10:54 BRT 2024","5","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","deveLancarExcecaoAoBuscarTipoCozinhaRestauranteInexistente","deveLancarExcecaoAoBuscarTipoCozinhaRestauranteInexistente()",""
"passed","Thu Mar 21 00:10:54 BRT 2024","Thu Mar 21 00:10:54 BRT 2024","7","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest","devePermitirBuscarRestaurantePorTipoCozinha","devePermitirBuscarRestaurantePorTipoCozinha()",""
"passed","Thu Mar 21 00:10:30 BRT 2024","Thu Mar 21 00:10:32 BRT 2024","2827","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceIntegrationTest","","com.techchallenge.restaurant.api.findfood.service.ReservaServiceIntegrationTest","deveReservarComSucesso","deveReservarComSucesso()",""
