"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 26 01:05:24 GMT 2024","Tue Mar 26 01:05:24 GMT 2024","92","","Testes de Busca de Restaurante","","com.techchallenge.restaurant.api.findfood.controller.RestauranteControllerIntegrationTest$buscarRestaurante","deveLancarExcecaoAoBuscarTodosRestaurantes","deveLancarExcecaoAoBuscarTodosRestaurantes()",""
"passed","Tue Mar 26 01:05:16 GMT 2024","Tue Mar 26 01:05:16 GMT 2024","4","","Testes de Busca de Restaurante","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceTest$buscarRestaurante","devePermitirBuscarRestaurantePorLocalizacao","devePermitirBuscarRestaurantePorLocalizacao()",""
"passed","Tue Mar 26 01:05:26 GMT 2024","Tue Mar 26 01:05:26 GMT 2024","46","","com.techchallenge.restaurant.api.findfood.controller.AvaliacaoControllerIntegrationTest.registrarAvaliacao","","com.techchallenge.restaurant.api.findfood.controller.AvaliacaoControllerIntegrationTest$registrarAvaliacao","deveLancarExceptionQuandoTentarRegistrarAvaliacaoComPontuacaoMaiorQue5","deveLancarExceptionQuandoTentarRegistrarAvaliacaoComPontuacaoMaiorQue5()",""
"passed","Tue Mar 26 01:05:23 GMT 2024","Tue Mar 26 01:05:23 GMT 2024","83","","Testes de Busca de Restaurante","","com.techchallenge.restaurant.api.findfood.controller.RestauranteControllerIntegrationTest$buscarRestaurante","devePermitirBuscarRestaurantePorTipoCozinha","devePermitirBuscarRestaurantePorTipoCozinha()",""
"passed","Tue Mar 26 01:05:26 GMT 2024","Tue Mar 26 01:05:26 GMT 2024","42","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest.findAll","","com.techchallenge.restaurant.api.findfood.controller.ReservaControllerIntegrationTest$findAll","deveRetornarTodasAsReservasComSucesso","deveRetornarTodasAsReservasComSucesso()",""
"passed","Tue Mar 26 01:05:14 GMT 2024","Tue Mar 26 01:05:15 GMT 2024","44","","Testes de Atualização de Restaurante","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceIntegrationTest$atualizarRestaurante","devePermitirAtualizarRestaurantes","devePermitirAtualizarRestaurantes()",""
"passed","Tue Mar 26 01:05:23 GMT 2024","Tue Mar 26 01:05:23 GMT 2024","92","","Testes de Busca de Restaurante","","com.techchallenge.restaurant.api.findfood.controller.RestauranteControllerIntegrationTest$buscarRestaurante","devePermitirBuscarRestaurantePorLocalizacao","devePermitirBuscarRestaurantePorLocalizacao()",""
"passed","Tue Mar 26 01:05:25 GMT 2024","Tue Mar 26 01:05:25 GMT 2024","54","","com.techchallenge.restaurant.api.findfood.controller.AvaliacaoControllerIntegrationTest.findAll","","com.techchallenge.restaurant.api.findfood.controller.AvaliacaoControllerIntegrationTest$findAll","deveLancarExceptionQuandoNaoEncontrarRestaurante","deveLancarExceptionQuandoNaoEncontrarRestaurante()",""
"passed","Tue Mar 26 01:05:14 GMT 2024","Tue Mar 26 01:05:14 GMT 2024","54","","Testes de Busca de Restaurante","","com.techchallenge.restaurant.api.findfood.service.RestauranteServiceIntegrationTest$buscarRestaurante","deveLancarExcecaoAoBuscarTodosRestaurantes","deveLancarExcecaoAoBuscarTodosRestaurantes()",""
"passed","Tue Mar 26 01:05:24 GMT 2024","Tue Mar 26 01:05:24 GMT 2024","142","","Testes de Exclusão de Restaurante","","com.techchallenge.restaurant.api.findfood.controller.RestauranteControllerIntegrationTest$deletarRestaurante","devePermitirDeletarRestaurantes","devePermitirDeletarRestaurantes()",""
